,Magnetometerx,Magnetometery,Magnetometerz
0,1.1760000000000002,3.136,4.704000000000001
1,1.1760000000000002,3.136,4.704000000000001
2,1.1760000000000002,3.136,4.704000000000001
3,0.882,3.136,4.704000000000001
4,0.686,3.136,4.704000000000001
5,0.686,3.136,4.704000000000001
6,0.686,3.136,4.704000000000001
7,0.686,3.136,4.704000000000001
8,0.686,3.136,4.704000000000001
9,1.1760000000000002,3.136,4.704000000000001
10,1.1760000000000002,3.136,4.704000000000001
11,1.1760000000000002,3.136,4.704000000000001
12,1.1760000000000002,3.136,4.704000000000001
13,1.078,3.136,4.704000000000001
14,0.882,3.136,4.704000000000001
15,0.882,3.136,4.704000000000001
16,0.882,3.136,4.704000000000001
17,0.882,3.136,4.704000000000001
18,0.882,3.136,4.704000000000001
19,0.98,3.136,4.704000000000001
20,0.882,3.136,4.704000000000001
21,0.882,3.136,4.704000000000001
22,0.882,3.136,4.704000000000001
23,0.882,3.136,4.704000000000001
24,0.98,3.136,4.704000000000001
25,0.882,3.136,4.704000000000001
26,0.5880000000000001,3.136,4.704000000000001
27,0.5880000000000001,3.136,4.704000000000001
28,0.5880000000000001,3.136,4.704000000000001
29,0.5880000000000001,3.136,4.704000000000001
30,0.882,3.136,4.704000000000001
31,0.882,3.136,4.704000000000001
32,1.078,3.136,4.704000000000001
33,1.078,3.136,4.704000000000001
34,1.078,3.136,4.704000000000001
35,0.98,3.136,4.704000000000001
36,0.882,3.136,4.704000000000001
37,0.98,3.136,4.704000000000001
38,0.98,3.136,4.704000000000001
39,0.98,3.136,4.704000000000001
40,0.98,3.136,4.704000000000001
41,0.882,3.136,4.704000000000001
42,0.98,3.136,4.704000000000001
43,0.784,3.136,4.704000000000001
44,0.784,3.136,4.704000000000001
45,0.784,3.136,4.704000000000001
46,0.784,3.136,4.704000000000001
47,0.882,3.136,4.704000000000001
48,0.98,3.136,4.704000000000001
49,0.98,3.136,4.704000000000001
50,0.98,3.136,4.704000000000001
51,0.98,3.136,4.704000000000001
52,0.98,3.136,4.704000000000001
53,0.98,3.136,4.704000000000001
54,0.686,3.136,4.704000000000001
55,0.686,3.136,4.704000000000001
56,0.686,3.136,4.704000000000001
57,0.882,3.136,4.704000000000001
58,0.98,3.136,4.704000000000001
59,0.882,3.136,4.704000000000001
60,0.882,3.136,4.704000000000001
61,0.882,3.136,4.704000000000001
62,0.882,3.136,4.704000000000001
63,0.784,3.136,4.704000000000001
64,0.686,3.136,4.704000000000001
65,0.882,3.136,4.704000000000001
66,0.882,3.136,4.704000000000001
67,0.882,3.136,4.704000000000001
68,0.882,3.136,4.704000000000001
69,0.882,3.136,4.704000000000001
70,0.98,3.136,4.704000000000001
71,0.98,3.136,4.704000000000001
72,0.98,3.136,4.704000000000001
73,0.98,3.136,4.704000000000001
74,0.98,3.136,4.704000000000001
75,0.882,3.136,4.704000000000001
76,0.882,3.136,4.704000000000001
77,0.882,3.136,4.704000000000001
78,0.882,3.136,4.704000000000001
79,0.882,3.136,4.704000000000001
80,0.98,3.136,4.704000000000001
81,0.686,3.136,4.704000000000001
82,0.882,3.136,4.704000000000001
83,0.882,3.136,4.704000000000001
84,0.882,3.136,4.704000000000001
85,0.98,3.136,4.704000000000001
86,0.98,3.136,4.704000000000001
87,0.98,3.136,4.704000000000001
88,0.98,3.136,4.704000000000001
89,0.98,3.136,4.704000000000001
90,0.98,3.136,4.704000000000001
91,0.98,3.136,4.704000000000001
92,1.078,3.136,4.704000000000001
93,0.686,3.136,4.704000000000001
94,0.686,3.136,4.704000000000001
95,0.686,3.136,4.704000000000001
96,0.98,3.136,4.704000000000001
97,0.882,3.136,4.704000000000001
98,1.1760000000000002,3.136,4.704000000000001
99,1.1760000000000002,3.136,4.704000000000001
